likes,reposts,text,I
441,10,"Подарки, сделанные своими руками, опасны, так как обнаруживают, что у тебя слишком много свободного времени. 
 
 Дуглас Коупленд 
«Рабы Майкрософта»",FALSE
954,26,"Неужто я влюблён? Я так глупо создан, что этого можно от меня ожидать. 
 
 Михаил Лермонтов 
«Герой нашего времени»",TRUE
1006,50,"Пусть судьба растопчет меня, я посмотрю, не станет ли ей стыдно. 
 
Н. Макиавелли",TRUE
1474,72,"В мире только и можно выбирать между одиночеством и пошлостью. 
 
Артур Шопенгауэр",FALSE
1718,132,"Если человек не меняется, то в чём вообще смысл событий его жизни? 
 
Дуглас Коупленд ""Похитители жвачки""",FALSE
1620,49,"Может, я старомоден, но я верю, что когда любишь — нужно давать любимому то, о чем он попросит. 
 
""Законы привлекательности""",TRUE
1744,90,"Я о многом хотела поговорить. Но знала, что ему будет больно. Поэтому я зарыла это в себе — пусть мне будет больно. 
 
Джонатан Сафран Фоер "" Жутко громко & запредельно близко""",TRUE
1517,71,"Оттого, что человек умер, его нельзя перестать любить, черт побери, особенно если он был лучше всех живых, понимаешь? 
 
Джером Д. Сэлинджер ""Над пропастью во ржи""",FALSE
1031,45,"- Эй, - окликнул я. - Ты хочешь взять с собой что-нибудь особенное? 
- А? Нет. - Она покачала головой, потом, словно вспомнив, добавила: - Тебя. 
 
Эрик Сигал ""История любви""",FALSE
1305,67,"Да, с ней держи ухо востро. Если вы думаете, что она дурочка, вы сошли с ума. 
 
Джером Д. Сэлинджер ""Над пропастью во ржи""",FALSE
1467,102,"Покажи мне хоть что-нибудь хорошее, чему не приходит конец, и у меня на радостях крыша съедет. 
 
Рэй Брэдбери",FALSE
1682,90,"Исправить уже ничего нельзя, но окончательно испортить - ещё можно. 
 
М. Мамчич",FALSE
1139,46,"- Ну а вы? - не выдержала она наконец. - Вам не нравится, как я пою? 
- О, напротив! - ответил он. - Будь у вас еще и голос, это было бы просто замечательно. 
Вот за него-то она и вышла замуж. 
 
Андре Моруа. ""Письма незнакомке""",TRUE
1500,69,"Раз я знаю, что ты придешь, я могу тебя ждать сколько угодно. 
 
Альбер Камю. ""Чума""",TRUE
1070,50,"Неизлечимую любовь внушают только девушки, сохранившие естественность. А таких одна на миллион. 
 
Амели Нотомб. ""Биография голода. Любовный саботаж""",FALSE
1009,41,"Лучше уж я сам все окончательно испорчу, зато прямо сегодня, без всякого там томительного ожидания и дыхательной гимнастики! 
 
Макс Фрай. ""Жертвы обстоятельств""",TRUE
1111,64,"Сколько в людях ни разочаровывайся, все равно удивят (с)",FALSE
902,40,"Забудешь в кафе зонтик, вернешься - и жизнь примет другой оборот. 
 
Михаил Шишкин. ""Письмовник""",FALSE
549,25,"Я, говорит, люблю человечество, но дивлюсь на себя самого: чем больше я люблю человечество вообще, тем меньше я люблю людей в частности. 
 
Достоевский. Братья Карамазовы",TRUE
607,22,"Нельзя любить то, что я люблю, да ещё так, как я люблю, и вдобавок жить среди людей. 
 
Хулио Кортасар. ""Игра в классики""",TRUE
914,37,"Если испытываешь по-настоящему глубокое чувство, не стыдись его проявлять. 
 
Джон Фаулз. ""Коллекционер""",FALSE
989,34,"— Я тебя люблю, — сказал я. 
— Это пройдет, — ответила она и положила трубку. 
 
Юрий Визбор",TRUE
1229,32,"Он очаровательно рассказывает мне о том, как он меня не любит. 
 
Марина Цветаева",FALSE
940,19,"Дорогая, не забывай, что я из Южной Бразилии. Мы по десять лет сохнем по женщине, которую даже не целовали. 
 
Элизабет Гилберт, ""Есть, молиться, любить""",TRUE
805,42,"Когда все идет прахом — философствуй. 
 
Джон Максвелл Кутзее. ""Бесчестье""",FALSE
469,14,"И я знал тогда, что могу влюбить ее в себя, только пока мы оба сидим, что, как только я поднимусь, очарование будет разрушено. Так что я продолжал говорить. И говорить. Говоря, я дорастал до метра восьмидесяти пяти. Говорить я умею. 
 
Ю. Несбё. ""Охотник за головами""",TRUE
663,20,"А ведь это такая невозвратимость, такой горький отлом души: лишиться любви к себе хотя бы одного человека. 
 
Юрий Трифонов. ""Дом на набережной""",FALSE
1090,43,"— Послушай, — друзья говорят мне на ухо, - 
— Все будет отлично, не падай лишь духом. 
— Все будет отлично, - 
киваю им сухо. 
И падаю, падаю, падаю духом… 
 
Татьяна Шубина",FALSE
590,11,"Почему я влюбляюсь в каждую женщину, которая проявляет ко мне интерес? 
 
""Вечное сияние чистого разума""",TRUE
987,35,"Ты — моя, даже если я тебя никогда не увижу. 
 
Франц Кафка ""Письма к Милене"".",TRUE
994,54,"Если вы любите свое одиночество и богатство своего внутреннего мира,просто сойдите с ума 
 
""Скафандр и бабочка""",FALSE
1263,59,"Я предпочитаю быть один, но рядом с кем-то. 
 
С. Довлатов.",TRUE
1109,57,"Никогда не стоит хвастаться будущим 
 
Н. Гоголь",FALSE
455,14,"Нам свойственно предполагать хаос и тьму, где все для нас неизвестность 
 
Гете",FALSE
1107,35,,FALSE
1022,90,"Я никогда не слушаю никого, кто критикует мои космические путешествия, мои аттракционы или моих горилл. Когда это происходит, я просто упаковываю моих динозавров и выхожу из комнаты. 
 
Рэй Брэдбери.",TRUE
961,51,"Господи, до чего же вы уверены в людях! Не пора ли повзрослеть! Как будто, если человек вам нравится, он не может выкинуть что-нибудь необычное без вашего ведома. 
 
Рэй Брэдбери. Смерть - дело одинокое",FALSE
739,19,"Он не понимал, зачем ему умирать, когда он родился жить.

А.П.Платонов, ""Юшка""",FALSE
492,14,"Люди так хотят хоть чем-то отличаться от прочих живых существ, что всё время говорят глупости, поскольку, кроме людей, на это никто не способен.

Макс Фрай
«Власть несбывшегося»",FALSE
495,20,"Архитектура, скульптура, живопись, музыка и поэзия справедливо могут быть названы цветом цивилизованной жизни.

 Герберт Спенсер",FALSE
1412,61,"Если рана не болит, ею очень удобно хвастаться. 
 
Владислав Крапивин 
«Та сторона, где ветер»",FALSE
823,44,"Любовь неожиданно вваливается, как при взломе. Один миг - и больше ничего не существует. 

Гийом Мюссо "" Я возвращаюсь за тобой""",TRUE
1268,31,"— Она же должна тебя как-то зацепить. 
 — И что, она специально делает мне больно? Это же свинство! 
 — Прости, а то, что ты 10 лет не женишься на ней — это не свинство?

© О чём ещё говорят мужчины",FALSE
678,30,"Совести нет. Совесть придумали евреи. 

 Адольф Гитлер",FALSE
1234,41,"Если бы супруги не жили вместе, хорошие браки встречались бы чаще. 
 
Фридрих Ницше",FALSE
866,34,"О, дайте мне хоть разок посентиментальничать. Я так устал быть циником! 
 
Владимир Набоков. ""Лолита""",TRUE
1028,69,"Прошлое, настоящее, будущее — это сказка для разума. Каждое событие жизни происходит в каждый миг. Всегда. Сейчас я смотрю тебе в глаза, и, поверь мне, это длится вечность. 
 
Анхель де Куатье ""Исповедь Люцифера""",TRUE
1751,57,"Дай нам Боже не скучать о тех, кто нас не любит. 
 
Слава Сэ",FALSE
2055,77,"О, Господи, - вздохнула она, - всегда одно и то же! Если хочешь, чтобы мужчина хорошо к тебе относился, веди себя с ним, как последняя дрянь; а если ты с ним обращаешься по-человечески, он из тебя вымотает всю душу. 
 
Сомерсет Моэм",FALSE
1179,42,"Женщины, конечно, умнее. Вы когда-нибудь слышали о женщине, которая бы потеряла голову только от того, что у мужчины красивые ноги? 
 
Фаина Раневская",FALSE
1161,55,"Если ты хочешь, чтобы кто-то остался в твоей жизни, - никогда не относись к нему равнодушно. 
 
Ричард Бах.",FALSE
798,53,"Если бы у нас была хоть малейшая возможность изменить то, что сделано, тогда стоило бы задумываться над старыми ошибками. Но раз их нельзя исправить — пусть мёртвые оплакивают мёртвых. 
 
 Этель Лилиан Войнич 
«Овод»",FALSE
869,30,"Русских всегда недооценивали, а между тем они умеют хранить секреты не только от врагов, но и от друзей.

Уинстон Черчилль",FALSE
920,23,"Говорят, что у лебедя существует закон: умирает любимая-умирает и он.

Д.Бакинский",FALSE
1297,39,"Когда у тебя с кем-то проблемы, ты готов обсуждать их с кем угодно, кроме него. 
 
Клиника 
(Scrubs)",FALSE
971,59,"Деньги, конечно, можно и, наверное, даже нужно презирать, но для этого их надо сначала научиться зарабатывать. А то это будет не горделивое романтическое презрение, а обычная бытовая горечь неудачника.

Дмитрий Лекух 
«Хардкор белого меньшинства»",FALSE
1192,32,"Не может так быть, что целый год ты думаешь о человеке и ничего не меняется. Уже все изменилось. Земля уже крутится в вашу сторону, а ты говоришь: я ошиблась.

Льюис Керролл",TRUE
1094,65,"Под обликом послушной и ласковой девушки скрывалась натура, способная взбунтоваться, испытывающая настоящую жажду правды и справедливости.

Мари-Бернадетт Дюпюи ""Сиротка""",FALSE
726,47,"Я думаю, что всё зло этого мира идёт от мышления. Когда думать начинают люди, совершенно не способные к этому. 
 
Анджей Сапковский 
«Башня шутов»",TRUE
450,9,"Наши женщины не любят молодых, более привлекательных для мужчин, чем они сами. Женщина женщине всегда враг, пока не состарится. 
 
Иван Ефремов 
«Час быка»",FALSE
628,37,"Войну же надо начинать так, чтобы казалось, что мы не ищем ничего другого, кроме мира. 
 
Марк Туллий Цицерон 
«Об обязанностях. О старости. О дружбе»",FALSE
1767,54,"Неужели ты думаешь, если закрыть эту тему, боль уйдет? 
 
Элис Сиболд. ""Милые кости""",FALSE
1694,81,"Словно нашел то, что давно искал, а оно оказалось совершенно ненужным и вдобавок сломанным. 
 
Г.Л. Олди",FALSE
1414,54,"Разве не абсурд, что от хороших воспоминаний слёзы на глаза наворачиваются чаще, чем от дурных? 
 
Вальтер Моэрс",FALSE
994,49,"Я слышу и забываю. Я вижу и запоминаю. Я делаю и понимаю 
 
Конфуций",TRUE
672,24,"Нельзя войти в чью-то жизнь, позволить привязаться, а потом умереть... 
Я остаюсь умирать вместе с тобой. (с)",FALSE
1186,73,"Я спешу посмеяться над всем, иначе мне пришлось бы заплакать. 
 
Пьер де Бомарше",TRUE
1127,60,"Я имею счастье проводить время с утра и до вечера в обществе гениального человека, то есть с самим собой, а это очень приятно 
 
Гюго",TRUE
1127,60,"Я имею счастье проводить время с утра и до вечера в обществе гениального человека, то есть с самим собой, а это очень приятно 
 
Гюго",TRUE
1399,74,"Излишняя откровенность приносит только неприятности. 
 
Селин",FALSE
544,22,"Чтение для ума, что физкультура для тела. 
 
Джозеф Аддисон",FALSE
1085,42,"Это одна из тех историй, которые обязаны иметь счастливый конец, но в жизни такое случается редко.

Грегори Дэвид Робертс ""Тень горы""",FALSE
21,0,"Ребятушки, ещё раз напоминаю о нашем телеграмме!) 

M.official 
 https://t.me/joinchat/AAAAAEn_9H61dl-w0QtrDQ",FALSE
658,37,"Я обвиняю общество потребления в том, что оно сделало меня таким, какой я есть: ненасытным. Я обвиняю моих родителей в том, что они сделали меня таким, какой я есть: бесхребетным. Я часто обвиняю других, чтобы не обвинять себя самого.

Фредерик Бегбедер 
«Windows on the World»",TRUE
550,13,"Ты ничего не знаешь о чудном мире подростков. Они все сумасшедшие.

Эдвард руки ножницы 
(Edward Scissorhands)",FALSE
932,68,"Глаза есть зеркало души и неспроста - 
они в молчании правдивей, чем уста.

Аневито Кем",FALSE
850,41,"Я уже осознала насколько велика пропасть между тем, во что верить, и жизнью.

К/ф ""Джеки""",TRUE
1043,57,"Часто случается, что человек считает счастье далёким от себя, а оно неслышными шагами уже пришло к нему.

Джованни Боккаччо 
«Элегии мадонны Фьяметты»",FALSE
1395,77,"Однако есть такие люди и такие привязанности, которые тяжело переносят каждое расставание, и всякий раз уходить от них - все равно что покидать навеки родную страну.

Грегори Дэвид Робертс ""Тень горы""",FALSE
777,49,"Интеллигентность — способность убрать с чужих глаз долой всё плохое и выставить напоказ всё хорошее. 
 
Лууле Виилма 
«В согласии с собой»",FALSE
1004,36,"Память порой включается в самый неподходящий момент.

Грегори Дэвид Робертс ""Тень горы""",FALSE
666,23,"Уже далеко не впервые возникло чувство, будто я бросаю его на произвол судьбы.

Грегори Дэвид Робертс ""Тень горы""",TRUE
627,15,"Тот, кто никогда по-настоящему не любил, никогда по-настоящему не жил.

 Агата Кристи 
«Печальный кипарис»",FALSE
469,17,"Десять остряков не стоят одного талантливого человека, точно так же, как десяти талантам не заменить гения.

Анри Амьель",FALSE
917,47,"Если бы каждый из нас мог начать жизнь сначала, многие вообще не пожелали бы родиться.

Этель Лилиан Войнич 
«Оливия Лэтам»",FALSE
1671,111,"Когда-нибудь и ты станешь делать для меня вещи, которые ненавидишь. Это потому, что мы семья. 
 
Джонатан Сафран Фоер. ""Полная иллюминация""",FALSE
1275,68,"Самое худшее, когда нужно ждать и не можешь ничего сделать. От этого можно сойти с ума. 
 
Эрих Мария Ремарк",FALSE
1417,56,"Либо только со мной, либо уходи. 
 
""Вечное сияние чистого разума""",FALSE
1059,30,"Прежде чем любить, надо пару раз умереть. 
 
Запах вереска",FALSE
1352,55,"Туман нежности обволакивал горы тоски. 
 
Владимир Набоков. Лолита",FALSE
1428,89,"Есть крайне мало людей, с которыми я могу оставаться в одной комнате больше 5 минут, не чувствуя, что меня потрошат. 
 
Ч. Буковски",TRUE
751,18,"Трудно забыть боль, но еще труднее запомнить приятное. 
 
Чак Паланик. ""Дневник""",FALSE
1176,58,"Как приятно лежать неподвижно на диване и сознавать, что ты один в комнате! Истинное счастие невозможно без одиночества. 
 
А.П.Чехов ""Палата №6""",FALSE
1685,69,"Проще расстаться с человеком, чем с иллюзиями на его счёт. 
 
Марта Кетро ""Улыбайся всегда, любовь моя""",FALSE
1157,46,"Мы действительно сами выдумываем трагедию, чтобы как-то заполнить пустую жизнь. 
 
Чак Паланик ""Призраки""",FALSE
1456,52,"Вы не представляете себе, как быстро проходят 25 дней, когда ты не хочешь, чтобы они прошли. 
 
Чарльз Буковски. Макулатура",FALSE
933,49,"Я любил свою кровать и мог оставаться в ней часами, даже днем, натянув покрывало до самого подбородка. Здесь было покойно, никаких происшествий, никаких людей, ничего. 
 
Чарльз Буковски. ""Хлеб с ветчиной"".",TRUE
1400,47,"Перенесемся к правде. Я круглая дурочка. 
 
Чак Паланик ""Невидимки""",TRUE
767,34,"Разве ты не чувствуешь, что только чистота твоя рождает мою порочность? 
 
Франк Ведекинд. ""Пробуждение весны""",FALSE
575,20,"Процентов 95 из тех, кто лезет в чиновники, это отбросы. Это я тебе честно говорю. Они даже читать нормально не могут. 
 
Харуки Мураками. «Норвежский лес»",TRUE
1446,78,"Однажды ты окажешься у моря, и оно унесет на своих волнах боль воспоминаний. У каждого из нас свое море. 
 
Эльчин Сафарли",FALSE
1581,107,"""Молчи, скрывайся и таи
И чувства и мечты свои...""

Ф.И.Тютчев",FALSE
1836,81,"Если ты любишь человека, то тебе все должно быть мило от него. Он в тюрьму, и ты с ним в тюрьму. Он сделался вором, а ты ему помогай. Он нищий, а ты все-таки с ним. Что тут особенного, что корка чёрного хлеба, когда любовь?

Александр Иванович Куприн «Яма»",FALSE
1074,31,"Я не замечаю её присутствия — и страдаю, когда её нет.

Ирвин Уэлш 
«Альковные секреты шеф-поваров»",TRUE
1260,40,"Если ты не влюблён, нет ничего тоскливей пения птиц в 3:20 утра.

Рей Дуглас Бредбери",FALSE
1148,50,"Чтобы иметь возможность пережить любовь, необходимо пережить раздельность существования.

«Душа человека»
Эрих Фромм",FALSE
1119,58,"Тот, кому нечего терять, может всего добиться, того, кто не чувствителен к боли, ничто не ранит. 

 К. Маккаллоу «Поющие в терновнике»",FALSE
1537,103,"Что я для тебя, тем и ты будешь для меня. 
 
Генрих Манн",TRUE
738,43,"Иногда мои мысли ну никак не могут между собой договориться, да и чувства тоже; не мозг, право слово, а целое народное собрание... 
 
Иэн Бэнкс ""Осиная Фабрика""",FALSE
1392,66,"Что ты можешь знать обо мне, если ты со мной не спал и не пил? 
 
Марина Цветаева",FALSE
950,41,"Как хорошо, что некого винить, 
Как хорошо, что ты никем не связан, 
Как хорошо, что до смерти любить 
Тебя никто на свете не обязан. 
 
Иосиф Бродский",FALSE
917,31,"Когда мы счастливы, мы всегда добры, но когда мы добры, мы не всегда счастливы 
 
Оскар Уайльд",FALSE
21,0,"Итак, друзья, ссылка на наш телеграмм! 

M.official 

 ➡️ https://t.me/joinchat/AAAAAEn_9H61dl-w0QtrDQ",FALSE
1290,74,"И что бы с вами ни случилось – ничего не принимайте близко к сердцу. Немногое на свете долго бывает важным. 
 
Мария Эрих Ремарк ""Триумфальная арка""",FALSE
1143,69,"Ты когда-нибудь чувствовал, — спросила она, — что тебе не хватает того, кого ты никогда не встречал? 
 
Ричард Бах. Мост через вечность",FALSE
1078,53,"Это свободная страна. Люди имеют право писать мне письма, а я имею право не отвечать на них. 
 
Фолкнер",TRUE
1621,123,"Избавьте себя от 5 составляющих эмоционального рака: критиковать, жаловаться, сравнивать, конкурировать и соперничать. 
 
Стивен Кови",FALSE
490,29,"Непринужденность во всем. Она животворит достоинства, вдохновляет речи, одушевляет дела, красит все прекрасное в человеке. 
 
Бальтасар Грасиан-и-Моралес",FALSE
1619,82,"Когда обнимаешь меня, думай только обо мне. Можешь делать со мной всё, что хочешь, только не делай больно. Мне пришлось много пережить до сих пор. Больше не хочется. Хочется счастья. 
 
Харуки Мураками",FALSE
1220,44,"Прощай и если навсегда, то навсегда прощай. 
 
А.С.Пушкин ""Евгений Онегин""",FALSE
1629,89,"Спектакль отменяется, нас всех тошнит. 
 
Хармс",FALSE
1336,41,"Ни один человек не может стать более чужим, чем тот, кого ты в прошлом любил. 
 
Эрих Мария Ремарк ""Триумфальная арка""",FALSE
1059,53,"Время уносит все. 
 
Вергилий",FALSE
948,43,"Не спешите говорить о себе. Разговор о вас начнётся, как только вы уйдете 
 
Аль Пачино",FALSE
934,28,"Когда вы мне говорите о своей любви, я как-то тупею и не знаю, что говорить. Простите, я ничего не могу сказать вам. 
 
А.П. Чехов",TRUE
779,39,"Я пишу потому, что я больше не в состоянии об этом думать... 
 
Владимир Маяковский",TRUE
815,46,"Обижаться и негодовать, это все равно, что выпить яд в надежде, что он убьет твоих врагов. 
 
Нельсон Мандела",FALSE
808,28,"Но мне кажется, что куда бы я ни поехал, я всегда буду скучать по людям, которых оставил. 

 
""Мальчик в полосатой пижаме""",TRUE
940,52,"Утверждение, что невозможно всю жизнь любить одну и ту же женщину, так же неразумно, как и считать, что известному скрипачу для исполнения разных песен нужны совершенно разные скрипки. 
 
Оноре де Бальзак",FALSE
863,36,"Когда кого-то теряешь, когда кого-то недостает, ты больше всего страдаешь от того, что человек этот превратился в нечто воображаемое, нечто нереальное. Но твоя тоска по нему – вовсе не воображаемая. И потому ты вынужден цепляться за свою тоску. 
 
Джонатан Коу, «Дом сна»",FALSE
900,36,"Нам нравятся люди, которые смело говорят нам, что думают, при условии, что они думают так же, как мы. 
 
Марк Твен",FALSE
1013,38,"Он не понимал ее, а только любил 
 
Л.Н.Толстой ""Война и мир""",FALSE
1041,38,"Потом он обнял меня: человек, умеющий обнимать - хороший человек. 
 
Орхан Памук. «Меня зовут красный»",FALSE
1032,28,"Тем, кто ложится спать - 
Спокойного сна. 
 
Виктор Цой",FALSE
1581,55,"Он ждал меня в дождь. Я этого никогда не забуду. Шел дождь, я опоздала, а он меня ждал. Так просто. Но забыть этого невозможно! 
 
Рената Литвинова. Обладать и принадлежать",TRUE
1118,53,"Мне бы июньскую ночь, 
Лунную ночь - и тебя. 
 
Рэй Брэдбери. Марсианские хроники.",FALSE
1001,37,"Ты - моя, даже если я тебя никогда не увижу. 
 
Франц Кафка. Письма к Милене.",TRUE
1274,50,"Пожалуй, они правы, помещая любовь в книги. Пожалуй, только там ей и место. 
 
Уильям Фолкнер.",FALSE
1520,99,"Если вы не можете принять решение из-за конфликта между умом и сердцем, – сказал Галт, – доверьтесь уму. 
 
Айн Рэнд.",FALSE
932,62,"Люди видели бы вокруг себя много прекрасного, если бы не были так злы. 
 
Жюль Ренар",FALSE
1020,52,"Я не высокомерен. Я слишком занят тем, что думаю о вещах, которые вы не понимаете. Я же не виноват, что вы такие тупые. 
 
Джимми Карр",TRUE
922,30,"Я, когда не люблю, — не я… Я так давно — не я… 
 
Марина Цветаева",TRUE
1268,75,"Бежать, бежать через дома и реки.
И всё твердить — мы вместе и навеки,
Останься здесь и на плече повисни,
На миг вдвоём посередине жизни.

Иосиф Бродский. Шествие.",FALSE
1110,72,"Мне часто приходится говорить не то, что я думаю. Это называется дипломатией.

Фрэнк Херберт 
«Мессия Дюны»",TRUE
601,42,"Я не хочу быть старой бабкой!
Мне это очень не пойдёт!
Ходить по рынку с сумкой-тачкой,
И раздвигать клюкой народ!

Я не желаю просыпаться
с рассветом раньше петухов!
И постоянно возмущаться,
не помня половины слов.

И не хочу в пуховой шапке
по поликлинике ходить.
По коридору громко шаркать,
рецепты пачками носить.

Мне не к лицу вставные зубы,
очки, местами борода.
И тонкие, как нитки губы,
что в них не держится еда.

Носить коричневую юбку,
платок и старое пальто.
Не понимать простую шутку,
переспросив её раз сто!

Зачем мне треснувшие пятки,
обвисший торс и седина,
морщины, преющие складки..
Болезнь, ещё и не одна?

Как удержаться от просмотра
программы ""Время"" перед сном?
Расстроиться из-за чего-то,
и долго не уснуть потом.

Я не хочу быть старой бабкой,
ябуду женщиной в годах.
Здоровой, стильной, элегантной,
на лабутенах и в штанах...

Хочу дожить до старости...
Стать бабушкой с ""прикидом""!
И вызывать улыбку
одним своим лишь видом!

С полями в красной шапочке
и жёлтеньких ботиночках...
И чтоб чулки ажурные
держались на резиночках!

Хочу серёжки-бабочки,
очки на поллица...
С подружками на лавочке
трепаться без конца...

В театр на премьеру...
Да чтобы в первый ряд!
Потом в кафе... - Ну надо  же
отпраздновать наряд!

Хочу делиться с внуками
о том, что нынче в моде!
Не про здоровье дряблое
болтать, не о погоде...

Закинув ногу на ногу,
про секс смотреть кино...
И чтоб никто не думал,
что бабке всё равно!!!

Хочу стать клёвой бабушкой...
Без палочки шагать...
Пилюли разноцветные
ликёром запивать!!!

Мне б с внуками на танцах
на зависть старичкам,
отплясывать чечёточку,
дав волю каблучкам!

И, свечки задувая,
в рожденья сабантуй,
услышать голос сверху -
""Ты с цифрой не мухлюй!""...

Хочу дожить до старости
и быть в своем уме!!!
И чтоб букетик ландышей
хотелось... По весне...

Лариса Рубальская",TRUE
765,21,"Так уж мы все устроены — для выживания нам необходимо знать, что на свете есть кто-то несчастней нас.

Борис Акунин 
«Любовница Смерти»",FALSE
1495,71,"— Зачем я еду? — повторил он, глядя ей прямо в глаза. — Вы знаете, я еду для того, чтобы быть там, где вы, — сказал он, — я не могу иначе.

Л.Н.Толстой «Анна Каренина»",TRUE
